Group,Item,ItemNumber,depicted.sense.to.distractor.of.depicted.sense,depicted.sense.to.distractor.of.nondepicted.sense,sense1.sense2,nondepicted.sense.to.distractor.of.depicted.sense,nondepicted.sense.to.distractor.of.nondepicted.sense,WordSense,PictureWord,distractor1,distractor2,OneOrTwoPics,PairGrouper,DistWord,Condition,DistWordSound,DistWordSoundGit,TargetPic,ShortPic,Xdim,Ydim,Arbitrary.order
1,cell_sense1,7,0.268276929,-0.08564649,-0.328048789,-0.487074875,1.327426545,biological cell,CELL,VIRUS,CAGE,2,1,VIRUS,d1,virus.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/virus.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cell_sense1.png?raw=true,cell_sense1.png,400,400,1
1,cell_sense2,8,1.327426545,-0.487074875,-0.328048789,-0.08564649,0.268276929,prison cell,CELL,CAGE,VIRUS,2,1,BLOWDRYER,d1control,blowdryer.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/blowdryer.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cell_sense2.png?raw=true,cell_sense2.png,400,400,2
1,fan_sense1,12,1.046955724,-0.510877407,-0.6528331,-0.362071892,0.908022619,hand fan,FAN,BLOWDRYER,SUPPORTER,2,1,SUPPORTER,d2,supporter.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/supporter.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/fan_sense1.png?raw=true,fan_sense1.png,400,400,3
1,fan_sense2,13,0.908022619,-0.362071892,-0.6528331,-0.510877407,1.046955724,sports fan,FAN,SUPPORTER,BLOWDRYER,2,1,CAGE,d2control,cage.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/cage.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/fan_sense2.png?raw=true,fan_sense2.png,400,400,4
1,bar_sense1,1,1.709454122,-0.203038119,-0.334607509,-0.308388971,0.662099691,metal bar,BAR,ROD,CAFE,2,2,ROD,d1,rod.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/rod.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bar_sense1.png?raw=true,bar_sense1.png,400,400,5
1,bar_sense2,2,0.662099691,-0.308388971,-0.334607509,-0.203038119,1.709454122,drinking bar,BAR,CAFE,ROD,2,2,BRACELET,d1control,bracelet.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/bracelet.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bar_sense2.png?raw=true,bar_sense2.png,400,400,6
1,ring_sense1,30,1.254412134,-0.519846346,-0.242258507,-0.309473304,0.732412308,jewelry ring,RING,BRACELET,ARENA,2,2,ARENA,d2,arena.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/arena.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ring_sense1.jpg?raw=true,ring_sense1.jpg,400,400,7
1,ring_sense2,31,0.732412308,-0.309473304,-0.242258507,-0.519846346,1.254412134,boxing ring,RING,ARENA,BRACELET,2,2,CAFE,d2control,cafe.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/cafe.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/ring_sense2.png?raw=true,ring_sense2.png,400,400,8
1,speaker_sense1,41,1.573004042,-0.566278165,-0.355929305,-0.237945885,1.70270387,musical speaker,SPEAKER,MICROPHONE,LECTURER,2,3,MICROPHONE,d1,microphone.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/microphone.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/speaker_sense1.jpg?raw=true,speaker_sense1.jpg,400,400,9
1,speaker_sense2,42,1.70270387,-0.237945885,-0.355929305,-0.566278165,1.573004042,lecturing speaker,SPEAKER,LECTURER,MICROPHONE,2,3,FEATHER,d1control,feather.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/feather.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/speaker_sense2.png?raw=true,speaker_sense2.png,400,400,10
